ticker,side,filled_qty,filled_avg_price,limit_price,order_type,status,stop_price,created_at,filled_at,client_order_id
SPY,sell,600,592.79,,market,filled,,2024-12-20 16:34:41.249024+00:00,2024-12-20 16:34:41.422605+00:00,3bce5f15-b0b6-4bf6-8511-164ce4d43079
SPY,sell,600,590.37,,market,filled,,2024-12-19 15:16:58.004872+00:00,2024-12-19 15:16:58.373165+00:00,40b7b580-b64c-4d4e-acbf-7d9fbb0db704
WBD,buy,2500,11.24,,market,filled,,2024-12-18 15:18:11.467619+00:00,2024-12-18 15:18:12.048048+00:00,038295d4-ac63-41e1-9139-aaf4a68488b9
VNQ,buy,1500,94.13,,market,filled,,2024-12-16 14:57:06.728475+00:00,2024-12-16 14:57:06.998627+00:00,3163227c-79c9-4ef5-b8da-97197e6bd48f
CAT,buy,250,382.92,,market,filled,,2024-12-12 16:25:56.638061+00:00,2024-12-12 16:25:57.583031+00:00,183f75e6-3ea1-40ed-9b45-69e61ca4289e
SHW,buy,100,367.13,367.26,limit,filled,,2024-12-12 15:51:30.556302+00:00,2024-12-12 15:52:33.272134+00:00,a23233dd-9582-45de-891b-2e64b04be6d5
SHW,buy,0,,354.86,limit,canceled,,2024-12-12 15:47:02.977737+00:00,,3965a7c9-65fb-4b42-8e8d-d891d4350bb4
IOT,sell,0,,,stop,new,41.88,2024-12-11 20:02:16.191966+00:00,,6a5f5341-5dd7-47fa-93bc-1fdc4c66e910
IOT,buy,1200,46.01,,market,filled,,2024-12-11 19:56:06.882974+00:00,2024-12-11 19:56:07.475631+00:00,ccc927ce-a368-4d8e-8f44-020721c5cca4
